local-authority-code,council,start_year,end_year,data_type,emission_savings,project_name,lifetime,cost,funding_source,emission_source,annual_cost,annual_savings,measurement,savings_start,comments
CLK,Clackmannanshire Council,2015,2016,project,,"Park Primary School: heating emitter replacement, north wing",10,,Capital budget,Natural Gas,,,,,"The impact of this project on the building's gas consumption has not been estimated, so we are unable to estimate emissions savings"
CLK,Clackmannanshire Council,2015,2016,project,,St Serf's Primary School:heating emitter upgrade throughout,10,,Capital budget,Natural Gas,,,,,"The impact of this project on the building's gas consumption has not been estimated, so we are unable to estimate emissions savings"
CLK,Clackmannanshire Council,2015,2016,project,,Tillicoultry Primary School: lighting replacement with LED,10,,Capital budget,Grid Electricity ,,,,,"The impact of this project on the building's electricity consumption has not been estimated, so we are unable to estimate emissions savings"
CLK,Clackmannanshire Council,2015,2016,project,,Marshill & Town Hall Lodge: lighting replacement with LED,10,,Capital budget,Grid Electricity ,,,,,"The impact of this project on the buildings' electricity consumption has not been estimated, so we are unable to estimate emissions savings"
CLK,Clackmannanshire Council,2016,2017,project,73.79,Street Lighting Upgrade,2,1640000,Capital budget/Salix Fund,Grid Electricity ,,110000,Estimated,2016/17,Data taken from the Street Lighting Replacement Programme Paper Report to Council on the 13th October 2016 and the reduction in Electricity usage highlighted in the Un–Metered Supply Certificates from Scottish Power held by Roads Dept.
CLK,Clackmannanshire Council,2016,2017,project,,Roof Refurbishment - Improving insulation levels -Deerpark Primary School,,,Capital,,,,,,
CLK,Clackmannanshire Council,2016,2017,project,,Partial Lighting upgrade to LED - Deerpark Primary School,,,Capital,,,,,,
CLK,Clackmannanshire Council,2016,2017,project,,Window Replacement - Secondary School Support Service,,,Capital,,,,,,
CLK,Clackmannanshire Council,2016,2017,project,,Lighting Upgrade to LED - Muckhart Primary School,,,Capital,,,,,,
CLK,Clackmannanshire Council,2016,2017,project,,Partial Heating Upgrade - St Serf's Primary School,,,Capital,,,,,,
CLK,Clackmannanshire Council,2016,2017,project,,Partial Heating Upgrade - Park Primary School,,,Capital,,,,,,
CLK,Clackmannanshire Council,2016,2017,project,,Lighting Upgrade to LED - Clackmannan Primary School,,,Capital,,,,,,
CLK,Clackmannanshire Council,2016,2017,project,,Lighting Upgrade to LED - Alva Primary School,,,Capital,,,,,,
CLK,Clackmannanshire Council,2016,2017,project,,Sustainable Transport Review,,,,,,,,,
CLK,Clackmannanshire Council,2016,2017,project,,Increased Pool Fleet reducing business mileage,,,,,,,,,
CLK,Clackmannanshire Council,2016,2017,project,,Construction of new Campus at Tullibody South  - closing two ageing Primary Schools,,,Capital,,,,,,
CLK,Clackmannanshire Council,2017,2018,project,1152,Street Lighting between midnight and 6.00 a.m.,20,1830000,Capital Budget/Salix Fund,Grid Electricity ,,110000,Estimated,2017/18,"Upgrade/Dimming of Street lights to 75% luminance .
Data taken from Street Lighting report to Council 13th Oct. 2016
The savings reflect £80,000 in lighting savings and £30,000 in maintenance costs (Total  £110,000)
"
CLK,Clackmannanshire Council,2017,2018,project,,Campus at Tullibody South,,,Capital,,,,,,Enabling works/pre-construction -  closure of 2 Primary Schools
CLK,Clackmannanshire Council,2017,2018,project,,Sustainable Transport Review,,,Capital,,,,,,Review of transport ongoing
CLK,Clackmannanshire Council,2017,2018,project,,Increased Pool fleet,,,Capital,,,,,,Reduction in Business mileage envisaged
CLK,Clackmannanshire Council,2017,2018,project,,Education - Classroom upgrades,,,Capital,,,,,,lighting/insulation/glazing – Clackmannan Primary School
CLK,Clackmannanshire Council,2017,2018,project,,I.T. - modernisation,,,Capital,,,,,,Development of Virtual servers.
CLK,Clackmannanshire Council,2017,2018,project,,I.T. - Server infrastructure,,,Capital,,,,,,Implementation of power management on server infrastructure…..power down when not in use
CLK,Clackmannanshire Council,2017,2018,project,,Alva Primary School and Nursery,,,,,,,,,Energy Efficiency upgrades incorporated into refurb. project
CLK,Clackmannanshire Council,2017,2018,project,,"Park Primary School, Alloa",,,,,,,,,Energy Efficiency upgrades incorporated into refurb. project
CLK,Clackmannanshire Council,2017,2018,project,,"Deerpark and Lochies Primary School, Sauchie",,,,,,,,,Energy Efficiency upgrades incorporated into refurb. project
CLK,Clackmannanshire Council,2018,2019,project,708,Street Lighting,3,,Capital Budget/Salix Fund,Grid Electricity ,,"80,000",Estimated,2017/18,"Upgrade/Dimming of Street lights to 75% luminance  between midnight and 6.00 a.m
Data taken from Street Lighting report to Council 13th Oct. 2016"
CLK,Clackmannanshire Council,2018,2019,project,,Tullibody Campus,2,,Capital,Grid Electricity ,,,,2020/21,"Enabling works/pre-construction - Construction of new Campus at Tullibody South – closure of 1 Primary School, 1 Civic Centre/library/nursery 
Data figures are being captured but this requires to be formalised to allow to
accurately identify the carbon savings.
It is envisaged that
 that the establishment of a Carbon Management Group or similar type body will allow for more accurate figures in future reports.
"
CLK,Clackmannanshire Council,2018,2019,project,,Sustainable Transport Review,1,,Revenue,Car - petrol (Medium car from 1.4 - 2.0 litre engine),,,,2019/20,Annnual review carried out by Ranger service. Require to establish a formal method of recording carbon savings.
CLK,Clackmannanshire Council,2018,2019,project,,Pool Fleet review,1,,Capital and Revenue,Petrol (average biofuel blend),,,,2019/20,Require to establish a formal method of recording carbon savings.
CLK,Clackmannanshire Council,2018,2019,project,,Classroom upgrades,3,,Capital,Grid Electricity ,,,,2019/20,Partial classroom upgrades – lighting/insulation/glazing – Clackmannan Primary School Require to establish a formal method of recording carbon savings.
CLK,Clackmannanshire Council,2018,2019,project,,I.T. Upgrades,1,,Capital,Grid Electricity ,,,,2019/20,Ongoing development and use of Virtual servers
CLK,Clackmannanshire Council,2018,2019,project,,Upgrade to Craigbank Primary School,1,,Capital,Grid Electricity ,,,,2019/20,"Heat,Light ,Windows
Require to establish a formal method of recording carbon savings."
CLK,Clackmannanshire Council,2018,2019,project,,HEEPS: ABS programme 2018/19,1,,Scottish Government,Natural Gas,,,,2018/19,Home Energy Efficiency improvements in the private sector (75 properties)
CLK,Clackmannanshire Council,2018,2019,project,,Climate Change Awareness Week and Earth Hour promotional activities,1,,Revenue,Refuse Commercial &amp; Industrial to Landfill,,,,2018/19,
CLK,Clackmannanshire Council,2018,2019,project,,Boiler Replacement Programme,1,,Capital,Natural Gas,,,,2019/20,
CLK,Clackmannanshire Council,2020,2021,project,35,"Ongoing street
lighting
upgrade/dimming of
street lights to 75%
luminance between
midnight and 6.00
a.m.",,,Capital Budget/Salix Fund,Grid Electricity (transmission & distribution losses),,80000,Estimated,2017/18,"As at 1 May 2019, around 92% of the Council’s lantern stock (around 8500 units) had been changed over to modern LED equivalents with ongoing works to convert the vast majority of the remaining lanterns over the next 2 - 3 years. This will include completion of the Main Route Lantern Conversion Programme (due for completion by 2022), and small discrete capital schemes. The design life of the LED lanterns is guaranteed by the supplier for 12 years - minimising maintenance and repairs and increasing savings in costs and electricity consumption. Clacks have now appointed an MPAN Administrator who takes care of the Half Hourly billing of our Street Lighting electrical consumption. This will allow more accurate consumption and costs calculations for the future. Sign lighting upgrades are planned for future years capital programmes as the new guidance allows the removal of unnecessary sign lights and the upgrading of existing sodium lanterns to LED - again achieving savings in consumption and maintenance costs."
CLK,Clackmannanshire Council,2020,2021,project,9.2,"Increased
Investment in
EV/Hybrid Council
fleet + use of
monitoring
technology",,,Capital and revenue,Fuel Oil tonnes,,,,,"In 2019 / 20 the Council operated 21 electric vehicles while the 2021 figure is currently sitting at 29 and increasing. We have been able to remove older dirty diesel driven vehicles and replace them with the electric alternatives; this in turn has led to a reduction in fuel usage and an overall reduction in exhaust gases being released into the atmosphere.

The increase in electric vehicle in the fleet in 20/21 will have led to estimated carbon saving of 9.2Tonnes of CO2.

Work is on-going to identify areas of fleet that can easily be moved to electric / alternative fuelled vehicles.  We have seen investment in hybrid technology in the fleet and all vehicles purchased that are not electric or hybrid variants are bought with the latest Euro Emissions standards for Diesel fuelled vehicles. Investment in alternative fuels for diesel driven vehicles is also be considered to further reduce vehicle borne C02 levels across the fleet.
"
CLK,Clackmannanshire Council,2020,2021,project,,"Programme of
upgrades
– lighting/insulation/
glazing",,,Capital,,,,,2019/20,"This programme is making our schools and public buildings more energy efficient and in the process contributing towards lower carbon emissions. Examples of this programme of work include the following:

1) The rewiring and Electrical upgrading of the stairwell lighting  and Emergency lighting in the Kilncraigs building

This Is the replacement of 63x28w circular fittings with more efficient 16w LED fittings and the fitting of 8x 3w exit boxes replacing the existing 8w ones. Energy savings are as follows

Existing system  total = 1828w
New system       total =  1152w  
Saving = 675w

Cost of Installation is £16,268.00
Saving in yearly testing costs = £ 1,262.38 per year.
There will also be a substantial saving in the maintenance cost of these lights because these units are guaranteed for three years so they will require less frequent replacement.



2) The Installation of a full new external Lighting system at Johnston court In Alva Involved the replacement of old 28w circular bulkheads with more efficient 16w LED circular bulkheads
Existing system 38x28w total = 896w
New system 38x16w total = 608w saving of 288w
Cost of the Installation £5743.00
This system Is covered by a manufacturers 3 year guarantee so the maintenance cost compared to the old system is far better and the system Is more efficient.

3) The replacement of all external lighting at Marchside court with more efficient LED lighting. This Involved the replacement of old 28w circular bulkhead fitting with more efficient 16w LED fittings. The energy saving are as follows:
Existing system 8x28w total = 224w
New system      8x16w total = 128w 
Saving of 96w
      
Cost of Installing  £ 256.00
This system Is covered by  a manufacturers 3 year Guarantee so the maintenance cost compared to the existing system is greatly reduced.

4) The upgrade of Emergency Lighting- within Menstrie OPH this lighting failed the recent testing programme so we have taken this work in house and decided to replace all the old units with more efficient self testing LED units which will also reduce future testing costs. The saving are as follows:
Existing system 65x 8w units total = 520w
Exit Boxes   6x8w    total = 48w

New system     65x3w units total = 186w
Exit boxes   6x3w          total = 18w 
saving of 364w

      Cost of units = £ 1423.75
The saving forecast on the testing alone is £1,173.48 per year so the units will pay for themselves In less than 2 years.
 
5) Alloa Family Centre Upgrade of emergency lighting following testing.  Is We have taken this work In house and have  decided to Install  more efficient self test units with a view to also reducing further testing costs and maintenance issues. The cost and energy saving are as follows:
Existing system 30x38w units total = 240w
Old 600x600 tubed panels 13x120w =1560w

New system 30x3w units total= 90w
600x600 LED panels 13x60w = 780w 
saving of 930w

Cost of replacement units £1,095.90
The savings forecast on saving on testing alone Is £764.54 per year so the  units pay for themselves in less than 2 years.

6) Menstrie PS upgrade of emergency lighting system following testing to LED self testing units reducing energy and maintenance costs the saving were as follows:
Existing system:
 20x28w circular bulkheads total = 560w
17x8w   rectangular bulkheads =  136w
New system:
 20x16w LED circular bulkheads   = 320w
17x3w   Led  Bulkheads =51w

Saving 325w
  Cost of replacement units £962.15
   The yearly savings forecast on testing alone £ 657.86. so the new units pay for themselves in less than 2 years.

7) Marshill House  upgrade to emergency lights following testing to self testing LED units and energy savings are as follows

   Existing lights 15x8w bulkheads total = 120w
   New system    15x3wbulkheads total =  45w saving 75w
   Cost of units  £284.25
   Savings forecast from testing alone = £266.70 per year
   New units will pay for themselves In less than 2 years.

8)  Banchory PS upgrade to lighting following emergency lighting. Testing this work will be carried out in house and changed to more efficient LED lighting. The energy and testing savings are as follows:
   Existing lights 16x8w bulkheads total = 128w
   Replacement  16x3w bulkheads total = 48w saving 80w
   Cost of units £303.20
   Savings forecast on testing alone  £284.48
   New units pay for themselves in less than 2 years                            
      



"
CLK,Clackmannanshire Council,2020,2021,project,,"I.T. Sustainability
and Energy
Efficiency
Programme",,,Capital,Average Car - Unknown Fuel,,,Estimated,2018/19,"Ongoing development and use of virtual
servers and implementation of power
management on server infrastructure.

Covid has led to a significant increase in home working with an estimated 14.78% off staff hours being spent working from home in the reporting period.
"
CLK,Clackmannanshire Council,2020,2021,project,,Boiler replacements In Council owned Housing and Public buildings -,,,Capital,Natural Gas,,,Estimated,2019/20,From April 2020 to April 2021 there was 162 gas installs completed with greater energy efficiency than the ones they replaced. From April this year to date there has been 17 new installs completed.
CLK,Clackmannanshire Council,2020,2021,project,,HEEPS: ABS programme – Home Energy Efficiency improvements in the private sector.,,,"Scottish Government
Funded
initiative",Natural Gas,,,Estimated,2019/20,"During 2020/21, £475,956 of energy efficiency savings were provided within the community bringing the total of savings since incorporating the HEAT team into our Energy Efficiency  projects to £2,525,288 and equates to 37,345.45 Lifetime Total CO2 Savings (Tonnes). It is considered that the HEAT team provide a lasting legacy of energy efficiency advice and education that goes far beyond the installation of EES ABS measures."
CLK,Clackmannanshire Council,2020,2021,project,1.2 tonnes per year for the two pilot properties,SHDG Pilot,,,Scottish Government Funded Initiative,Natural Gas,,,Estimated,2020/21,"Initiative supported by HES aimed at behavioural change, energy efficiency awareness and awareness of impact on Climate Change
"
CLK,Clackmannanshire Council,2020,2021,project,,"Upgrading of
windows in
domestic homes",,,,Natural Gas,,,,2019/20,"450 properties replaced with PVC windows
17 Pre fabrication properties will be fitted with external wall systems, solar panels, new roofs, windows and doors "
CLK,Clackmannanshire Council,2020,2021,project,,Home Energy Advice Team Engagement,,,,,,,,,"Clacks Home Energy Advice Team established to support all residents in Home Energy Efficiency Programme Schemes to help raise energy efficiency awareness and to tackle fuel poverty. Our Home Energy Advice Team provide training for staff and external agencies on home energy efficiency and link with Home Energy Scotland to deliver presentations on saving water, food waste and renewables to reduce emissions and alleviate fuel poverty. 

Fuel Poverty and Energy Efficiency Forum – Clacks has established a local forum to share good practice amongst local stakeholders and to improve partnership working with energy providers and national energy advice services. This work has helped householders who are in fuel poverty, increased uptake in EES ABS schemes and joint working on Scottish Government initiatives to help tackle climate change and carbon reduction.
"
CLK,Clackmannanshire Council,2020,2021,project,,Development of Scotland's International Envronment Centre (SIEC) in Alloa.,,,,,,,,,"As part of the Stirling and Clackmannanshire City Region Deal, Scotland's International Envronment Centre (SIEC) will be located in Alloa, putting Clackmannanshire at the heart of global climate conversation. Further information on recent progress can be found here https://www.clacks.gov.uk/council/press/?release=4443"
ELS,Comhairle nan Eilean Siar,2014,2015,project,,Rationalisation of Bus Routes,5,,,Diesel,,25000,Actual,No accurate data available,Totals CO2 savings for all Fleet projects 667
ELS,Comhairle nan Eilean Siar,2014,2015,project,,Renewal of Bus Fleet Midi Buses to Euro 5 x 7,1,,,Diesel,,,,No accurate data available,Please see above
ELS,Comhairle nan Eilean Siar,2014,2015,project,,Reduction in Building Maintenance Fleet,1,1000,,Diesel,,,,No accurate data available,No accurate data
ELS,Comhairle nan Eilean Siar,2014,2015,project,,Driver Training,1,,,Diesel,,,,No accurate data available,No accurate data
ELS,Comhairle nan Eilean Siar,2015,2016,project,88,Installation of water thermal store at Creed Park,20,368000,Capital funding,Burning Oil (Kerosene),,23173,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2015,2016,project,62,Installation of LED at HQ Offices,20,70000,Income from renewable technology,Grid Electricity ,,17612,Estimated,2018,
ELS,Comhairle nan Eilean Siar,2015,2016,project,69,Installation of LED at ISL,20,55000,Income from renewable technology,Grid Electricity ,,19526,Estimated,2018,
ELS,Comhairle nan Eilean Siar,2015,2016,project,28,Installation of LED at Creed Park,20,25000,Income from renewable technology,Grid Electricity ,,8036,Estimated,2018,
ELS,Comhairle nan Eilean Siar,2015,2016,project,2,Replacement of existing inefficient library van,7,12770,Capital funding,Diesel (100% mineral diesel),,1930,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2015,2016,project,4,Installation of PV array at North Uist School,20,18000,Capital funding,Grid Electricity ,,1930,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2015,2016,project,2,Incorporate LUX sensors to Smith Ave. running track lights,15,200,Income from renewable technology,Grid Electricity ,,491,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2015,2016,project,,Installation of LED lighting at the 6 WISP schools,20,,Income from renewable technology,Grid Electricity ,,,Estimated,2018,Awaiting data from contractor/consultant.
ELS,Comhairle nan Eilean Siar,2015,2016,project,6,Energy Awareness within ISL,5,1236,Income from renewable technology,Grid Electricity ,,1786,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2016,2017,project,219,LED replacement street lights - Stornoway,,417600,Capital Funding,Grid Electricity ,,60057,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2016,2017,project,25,Loft insulation at Sgoil nan Loch,,57539.7,Income from renewables,Gas Oil,,3133,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2016,2017,project,24,Loft insulation Shawbost School,,35000,Additional Revenue,Gas Oil,,4752,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2016,2017,project,23,Heating Controls (various) Sgoil Lionacleit,,0,,Gas Oil,,4279,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2016,2017,project,8,Repair PV at Sir E Scott School,,6500,Income from Renewables,Grid Electricity ,,1898,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2016,2017,project,6,Heating Controls (various)Lewis Sport Centre,,25,R & M,LPG,,1134,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2016,2017,project,5,Printer rationalisation,,0,,Grid Electricity ,,1346,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2016,2017,project,2,Relocate switch for floodlights and incorporation LUX sensors,,100,R & M,Grid Electricity ,,461,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2016,2017,project,2,LED replacement Town Hall,,5449.76,Additional Revenue Funding,Grid Electricity ,,601,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2016,2017,project,2,Review of water usage at Brevig Pier,,10000,R & M,Water - Supply,,4830,Estimated,2017,
ELS,Comhairle nan Eilean Siar,2017,2018,project,106,Replacement Pool Cover - Sgoil Lionacleit,,13429,Education Revenue Budget,Gas Oil,,14129,Actual,2018,
ELS,Comhairle nan Eilean Siar,2017,2018,project,85,Creed Turbine - Water Thermal Store,,368000,Capital,Grid Electricity ,,29059,Estimated,2018,
ELS,Comhairle nan Eilean Siar,2017,2018,project,69,Replacement Pool Cover - Castlebay School,,12769,Education Revenue Budget,Gas Oil,,9144,Actual,2018,
ELS,Comhairle nan Eilean Siar,2017,2018,project,25,Replacement Pool Cover - Shawbost School,,7238,Education Revenue Budget,Gas Oil,,3314,Actual,2018,
ELS,Comhairle nan Eilean Siar,2017,2018,project,17,LED Replacement - Creed Park Recycling,,25031,,Grid Electricity ,,5948,Actual,2018,
ELS,Comhairle nan Eilean Siar,2017,2018,project,8,Shawbost School - Switch off computers and printers out of working hours,,0,,Grid Electricity ,,2565,Actual,2018,
ELS,Comhairle nan Eilean Siar,2017,2018,project,4,Sandwick Road Offices - Energy Awareness,,889,,Grid Electricity ,,1256,Estimated,2018,
ELS,Comhairle nan Eilean Siar,2017,2018,project,3,Shawbost School - Energy Awareness,,752,,Grid Electricity ,,1112,Estimated,2018,
ELS,Comhairle nan Eilean Siar,2017,2018,project,1,Market Stance - Recycling,,2915,,Grid Electricity ,,283,Estimated,2018,
ELS,Comhairle nan Eilean Siar,2018,2019,project,1,Disposal and refurbishment of Leverhulme School,,5000000,Capital,Grid Electricity ,,314,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2018,2019,project,0,Disposal and refurbishment of Leverhulme School,,300,Capital,Water - Supply,,80,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2018,2019,project,18,Disposal and refurbishment of Leverhulme School,,300,Capital,Refuse Municipal to Landfill,,3379,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2018,2019,project,14,Disposal and refurbishment of Leverhulme School,,500000,Capital,Gas Oil,,1841,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2018,2019,project,10,Replacement of circulation and bedroom lighting with LEDs at St Brendan's Residential Home,,22000,,Grid Electricity ,,3360,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2018,2019,project,3,Education and Children Services Properties - Sgoil Lionacleit 188 emergency light fittings,,10746,,Grid Electricity ,,1004,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2018,2019,project,3,Lionel School - Replacement Pool Cover,,7238,,Gas Oil,,368,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2018,2019,project,2,Purchase of Mercedes Econic Hydrogen Split Body,,240000,,"HGV - average rigid (diesel, 50% laden)",,2473,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2018,2019,project,2,Review of staff travel - Purchase of EV/Hybrid vehicles - 2 no.,,80000,,Car - petrol (average),,5400,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2018,2019,project,1,Energy efficiency work at new Ardseileach - installation of air source heat pumps,,160000,,Gas Oil,,138,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2019,2020,project,6,Purchase of two library vans,,241206,Capital,Diesel,,,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2019,2020,project,6,Purchase of EV/hybrid vehicles (4 cars and 2 vans),,220000,,Staff Travel,,,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2019,2020,project,1,Laxdale School Extension,,1000000,Capital,Grid Electricity,,,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2019,2020,project,1,St Brendan's corridor LED replacement,,1236,,Grid Electricity,,,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2019,2020,project,0,Replacement emergency lighting Sgoil Lionacleit,,60000,,Grid Electricity,,,Estimated,2019/20,
ELS,Comhairle nan Eilean Siar,2020,2021,project,1,Shawbost School - Move furniture from radiators,,0,,Gas Oil kWh,,,Estimated,2020,All projects completed in 2021
ELS,Comhairle nan Eilean Siar,2020,2021,project,1,Review of all external lighting - Balivanich SULLP,,2250,,Grid Electricity (generation),,,Estimated,2020,All projects completed in 2021
ELS,Comhairle nan Eilean Siar,2020,2021,project,1,Review of all external lighting - Sgoil an Rubha,,2250,,Grid Electricity (generation),,,Estimated,2020,All projects completed in 2021
ELS,Comhairle nan Eilean Siar,2020,2021,project,1,Review of all external lighting - Sir E Scott School (New),,2250,,Grid Electricity (generation),,,Estimated,2020,All projects completed in 2021
ELS,Comhairle nan Eilean Siar,2020,2021,project,1,Review of all external lighting - TNI (New),,2250,,Grid Electricity (generation),,,Estimated,2020,All projects completed in 2021
ELS,Comhairle nan Eilean Siar,2020,2021,project,1,Review of all external lighting - West Side School,,2250,,Grid Electricity (generation),,,Estimated,2020,All projects completed in 2021
DGY,Dumfries and Galloway Council,2014,2015,project,,Estate rationalisation,,,tba,,,,,tba,The main work in respect of estate rationalisation in 2014/15 has been to develop in partnership with Scottish Futures Trust a plan to address office rationalisation based initially on the main office estate in Dumfries to optimise occupancy and efficient running of  this part of the estate. Similarly there is an ongoing programme of schools  estate  improvement (Schools for the Future ) both of which will feed into future years of our carbon  and asset management programmes. These initiatives will provide the strategic drivers to take forward longer term estate rationalisation.
DGY,Dumfries and Galloway Council,2014,2015,project,,Street lighting,8,7400000,Prudential borrowing,electricity,,,,2013/14,ahead of schedule
DGY,Dumfries and Galloway Council,2014,2015,project,,Transport - Staff travel,8,,,diesel,,,,,"There has been a further significant reduction in staff use of grey fleet during 2014/15, reducing by 305,000 miles overall, and by 415,000miles within the main staff group.

"
DGY,Dumfries and Galloway Council,2014,2015,project,,Transport - pool car fleet,8,,existing revenue budgets (leased vehicles),diesel,,,,2015/16,"Overall fleet mileage reduced by 1,106,165 miles in 2014/15, a reduction of 9.35% on the previous year.


"
DGY,Dumfries and Galloway Council,2014,2015,project,,Transport - service delivery of Fleet,,,,diesel,,,,,details to be included in future reports
DGY,Dumfries and Galloway Council,2014,2015,project,,Waste - MSW - reduce arisings,,,existing waste PFI contract,,,,,2015/16,The roll out of a revised waste collection process started in 2014/15 with the pilot programe of a zero waste recycle at source process introduced in the east of the region focused in the Stranraer area. A new recycling centre has been built to manage the new process  and in furture years this will be rolled out in other parts of the region. DFetails of the costs and progress  will be included in subsequent reports.
DGY,Dumfries and Galloway Council,2014,2015,project,,Waste - MSW - diversion from landfill,,,existing waste PFI contract,,,,,2015/16,see above
DGY,Dumfries and Galloway Council,2014,2015,project,,Behaviour change,,,existing waste PFI Contrcat,,,,,2015/16,The roll out of a new recycle at source waste process has been complemented by a education programme in the parts of the region currently involved. Details of this and achievements will be included in subsequent years' reports.
DGY,Dumfries and Galloway Council,2014,2015,project,121,Dumfries Ice Bowl Voltage optimisation,10,53000,CEEF,electricity,,2250,Estimated,2015/16,savings noted for full year based on reported outputs 
DGY,Dumfries and Galloway Council,2014,2015,project,18,Stranraer zero waste PV,20,180000,waste PFI sinking fund,electricity,,3370,Estimated,2014/15,PV installed on new zero waste facility
DGY,Dumfries and Galloway Council,2014,2015,project,,Schools waste management project,2,,Graduate trainees,vehicle fuel/waste,,50000,Estimated,2015/16,
DGY,Dumfries and Galloway Council,2015,2016,project,,Drummore Primary School refurbishment,30,,DGC capital,Grid Electricity ,,,Estimated,2016,Details are tbc
DGY,Dumfries and Galloway Council,2015,2016,project,,Street Lighting,8,7400000,Prudential borrowing,Grid Electricity ,,,Estimated,2014,"To date 48% of Dumfries and Galloway’s lighting stock has been changed to LED;
resulting in a 25% reduction in energy bills"
DGY,Dumfries and Galloway Council,2015,2016,project,76,"Solar PV, Dumfries Academy, Eastriggs primary, Lincluden Primary, Troqueer Primary, Lochside stores",20,402000,Prudential Borrowing,Grid Electricity ,7800,15225,Estimated,2016,Total of 290kW of solar PV
DGY,Dumfries and Galloway Council,2015,2016,project,120,Biomass heating Lochmaben primary Lochside Stores,20,200000,Prudential Borrowing,Grid Electricity ,,,Estimated,2016,200kW of Biomass 
DGY,Dumfries and Galloway Council,2016,2017,project,,Dalbeattie Through School,30,,DGC capital/SFT HUB,Grid Electricity ,,,Estimated,2018/19,First of a schools replacement programme coming on line in November 2017 and replacing the existing Dalbeattie Primary and High School with a purpose built energy efficient through school from nursery to senior school with associated community use heated with a biomass system and a range of energy efficiency measures. 
DGY,Dumfries and Galloway Council,2016,2017,project,,LED Lighting (buildings),15,,SALIX,Grid Electricity ,,,Estimated,2017/18,"Range of LED lighting installations in a number of school and other buildings. Electricity consumption at Calside primary one of the buildings has reduced by approximately 25,000 kwhr"
DGY,Dumfries and Galloway Council,2016,2017,project,,Irish Street Offices,30,,DGC Capital budget,Grid Electricity ,,,Estimated,2018/19,First of an ambitious programme of Dumfries office refurbishments which includes energy efficiency measures along with development of smarter working facilities enabling agile working for council staff and will ultimately lead to reduction in office buildings in the town from 24 to 14 buildings over several years.
DGY,Dumfries and Galloway Council,2016,2017,project,,Cargen Tower,30,,DGC Capital budget,Grid Electricity ,,,Estimated,2017/18,Layout and internal refurbishment of existing office facilities to provide pilot testing of Smarter Working processes and demonstration layout to help train council staff in new work practices helping to lead to council office reduction in Dumfries in the longer term with associated cost and carbon savings.
DGY,Dumfries and Galloway Council,2016,2017,project,,Street Lighting,8,7400000,Prudential borrowing,Grid Electricity ,,,Estimated,2018/19,It is anticipated that 90% of the Authority’s lighting will have been replaced to LEDs by the end of financial year 2017/18. Region wide completion of the programme is anticipated by the summer of 2018.
DGY,Dumfries and Galloway Council,2016,2017,project,,Schools PPP estate energy efficiency,,2200000,Prudential borrowing,Grid Electricity ,,,Estimated,2018/19,"Pilot project developed in partnership with PPP contractor AMEY to help deliver local carbon savings but from a commercial perspective to test the potential for wider national roll out. Energy efficiency projects across the schools PPP estate including LED lighting upgrades, biomass boiler installation at Wallacehall Academy and CHP units at Lockerbie and Stranraer Academies"
DGY,Dumfries and Galloway Council,2016,2017,project,,Springholm Primary School Upgrade,,,DGC Capital budget,Fuel Oil,,,Estimated,2018/19,"The work at Springholm whilst mainly aimed at making sure the school would continue to have a viable long term future has led to measurable reduction in heating fuel costs. Includes External Wall insulation, Window replacement and other structural works including External Wall insulation, Window replacement and other structural works"
DGY,Dumfries and Galloway Council,2017,2018,project,188,Dalbeattie Through School,30,,DGC capital/SFT HUB,Grid Electricity ,,,Estimated,2018/19,First of a schools replacement programme coming on line in November 2017 and replacing the existing Dalbeattie Primary and High School with a purpose built energy efficient through school from nursery to senior school with associated community use heated with a biomass system and a range of energy efficiency measures. CO2e saving is based on biomass system replacing gas heating.
